diff_round,lp_file,sol_file,elapsed_seconds,exit_code
12,/home/user/speck_output/speck96/speck96diff-12-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-12.sol,0,1
14,/home/user/speck_output/speck96/speck96diff-14-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-14.sol,0,1
16,/home/user/speck_output/speck96/speck96diff-16-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-16.sol,0,1
18,/home/user/speck_output/speck96/speck96diff-18-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-18.sol,0,1
20,/home/user/speck_output/speck96/speck96diff-20-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-20.sol,0,1
22,/home/user/speck_output/speck96/speck96diff-22-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-22.sol,0,1
24,/home/user/speck_output/speck96/speck96diff-24-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-24.sol,0,1
26,/home/user/speck_output/speck96/speck96diff-26-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-26.sol,0,1
28,/home/user/speck_output/speck96/speck96diff-28-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-28.sol,0,1
30,/home/user/speck_output/speck96/speck96diff-30-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-30.sol,0,1
32,/home/user/speck_output/speck96/speck96diff-32-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-32.sol,0,1
34,/home/user/speck_output/speck96/speck96diff-34-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-34.sol,1,1
36,/home/user/speck_output/speck96/speck96diff-36-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-36.sol,0,1
38,/home/user/speck_output/speck96/speck96diff-38-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-38.sol,0,1
26,/home/user/speck_output/speck96/speck96diff-26-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-26.sol,16592,0
28,/home/user/speck_output/speck96/speck96diff-28-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-28.sol,0,1
30,/home/user/speck_output/speck96/speck96diff-30-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-30.sol,0,1
32,/home/user/speck_output/speck96/speck96diff-32-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-32.sol,0,1
34,/home/user/speck_output/speck96/speck96diff-34-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-34.sol,0,1
36,/home/user/speck_output/speck96/speck96diff-36-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-36.sol,0,1
38,/home/user/speck_output/speck96/speck96diff-38-round-11-fixed.lp,/home/user/speck_output/speck96/speck96round11-38.sol,0,1
